cve_id,component,severity,cvss_vector,cvss_version,base_score,AV,AC,PR,UI,S,C,I,A
CVE-2025-46570,vllm,LOW,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:L/I:N/A:N,3.1,2.6,N,H,L,R,U,L,N,N
CVE-2025-46722,vllm,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:L,3.1,4.1,N,H,L,N,U,L,N,L
CVE-2025-47277,vllm,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2025-48887,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-48942,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-48943,vllm,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-48944,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-48956,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-59425,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,7.5,N,L,N,N,U,H,N,N
CVE-2025-61620,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-62164,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,8.7,N,L,L,N,U,H,H,H
CVE-2025-62372,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-6242,vllm,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:L/A:H,3.1,7.1,N,H,L,N,U,H,L,H
CVE-2025-62426,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2025-66448,vllm,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,3.1,7.1,N,H,L,R,U,H,H,H
CVE-2025-71379,vllm,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,3.1,4.2,N,L,L,N,U,N,N,L
CVE-2025-9141,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,8.7,N,L,L,N,U,H,H,H
CVE-2026-22773,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2026-22778,vllm,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2026-22807,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1,8.7,N,L,N,R,U,H,H,H
CVE-2026-24779,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:L,3.1,7.1,N,L,L,N,U,H,N,L
CVE-2026-25960,vllm,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:L,3.1,5.3,N,L,L,N,U,L,N,L
CVE-2026-27893,vllm,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1,8.7,N,L,N,R,U,H,H,H
CVE-2026-34753,vllm,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:L,3.1,5.3,N,L,L,N,U,L,N,L
CVE-2026-34755,vllm,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2026-34756,vllm,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
CVE-2026-34760,vllm,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:L,3.1,5.8,N,H,L,N,U,N,H,L
CVE-2026-41523,vllm,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1,7.5,N,H,N,R,U,H,H,H
